num_trees,max_depth,num_leaves,row_ratio,col_ratio,score
76,5,105,0.9306638735604528,0.4685278827062972,435.77443114427524
306,9,99,0.4918292052311679,0.44384268159810547,0.00917022872407791
328,5,12,0.272841199364499,0.5975515300039329,203.61586586721447
102,7,200,0.28708629784642437,0.8583556927353069,0.9629414213391014
110,2,161,0.7517391323223556,0.8277605883854886,2.8344400765157522
311,3,136,0.4062426616475413,0.8822665781276047,459.59715362152053
358,4,90,0.5173739481288251,0.8789369765260668,1.2515642648133312
227,2,133,0.60374395416972,0.863690430888759,0.01832860855162229
305,9,165,0.542770957119294,0.8016395986489764,0.912334836478578
391,3,100,0.9113443015920902,0.3092936517200513,2.876894768052667
48,7,11,0.5389184280304226,0.8316077983198156,0.010214471418048994
297,9,166,0.400547374913509,0.31664538400880315,1.2268016699139206
444,5,214,0.4475980446977019,0.8881439977969257,0.008435203177996486
18,5,122,0.7902795184980529,0.8600130309195013,124.26585709716139
421,3,9,0.7575122500278064,0.3296336081431725,0.020223811223293357
265,8,56,0.8691273558818278,0.8170353592678763,0.9866416449120468
264,6,160,0.8644232865044413,0.4328445346734948,428.62920137452403
54,3,184,0.8784710296788406,0.4470470747583829,2.4124094032380476
241,9,253,0.8583321603412892,0.8810775350124671,0.006295960051284619
455,4,110,0.8730754397075629,0.768183685160137,1.2548659873237793
230,3,244,0.13769740012260648,0.841919405927273,228.75476391163176
127,2,80,0.1033598287399489,0.4667731972603305,0.02087884700137877
106,2,220,0.7453741750566931,0.35720140444536613,0.0213266582927722
455,7,120,0.16068040701992428,0.6908656579134201,141.69562562578113
247,8,154,0.58957453354652,0.42621533744028883,111.0818332210609
183,6,149,0.3928266468079964,0.8432139493323383,424.81411373724586
339,8,248,0.3170729766617024,0.6417561685764717,0.9376770177025889
115,5,91,0.6575099789154407,0.38850934726294484,433.593988862945
491,3,54,0.30129213935860377,0.42033134627884405,2.38380839097848
327,3,133,0.9270347924000202,0.7550876212388655,463.57876493895884
368,6,253,0.15245326758527294,0.8421068856946357,1.7314483235416809
284,7,230,0.5791804566799644,0.6151792948030077,92.69548088522467
61,7,205,0.3764786301074171,0.7270276061338939,422.04428372681394
331,9,74,0.31499293917282706,0.557527218363823,1.5824810709569184
440,3,49,0.9349609586706101,0.7661193845298916,236.9843836015415
375,2,103,0.3304151751694624,0.6586093319313705,341.0887566112231
248,2,32,0.24422603564635406,0.5974377234913413,2.7953361764405624
153,2,236,0.20644718675992163,0.5071846770463727,2.786380790849
458,6,160,0.4502066552068864,0.6113512462176989,0.009536258793225338
161,5,131,0.8108531180169901,0.6163986893576225,1.8323640477095264
79,4,217,0.6642794346430894,0.36412135843190385,1.5501722145033803
113,6,198,0.1749216824883902,0.32153676433558415,1.6475127647360588
109,3,241,0.2939752747492446,0.33333504547221054,2.756844424922911
160,8,33,0.19260463504555397,0.45760131476692933,1.7383751761234492
306,5,162,0.575957927496329,0.5102737110909583,430.8240762191106
136,7,122,0.49775418640880753,0.8508689635644329,0.006830370600855005
346,6,144,0.783421514007213,0.43975313766035007,1.702655620140844
