num_trees,learning_rate,max_depth,num_leaves,row_ratio,col_ratio,score
76,0.24961755470945135,5,105,0.9306638735604528,0.4685278827062972,524.4655440932572
306,0.22602619441488908,9,99,0.4918292052311679,0.44384268159810547,0.00869336812173348
328,0.045159968184278435,5,12,0.272841199364499,0.5975515300039329,61.003354464744504
102,0.21836342162304148,7,200,0.28708629784642437,0.8583556927353069,1.0830273456101753
110,0.034343946081611725,2,161,0.7517391323223556,0.8277605883854886,1.8861208267157348
311,0.19435577961686937,3,136,0.4062426616475413,0.8822665781276047,530.3496108584934
358,0.018822975037370484,4,90,0.5173739481288251,0.8789369765260668,0.8850236808484008
227,0.03835257370968075,2,133,0.60374395416972,0.863690430888759,0.013417666192442265
305,0.1018742013216743,9,165,0.542770957119294,0.8016395986489764,0.9237226255084161
391,0.05220473041009595,3,100,0.9113443015920902,0.3092936517200513,1.2148184795915573
48,0.07090299298846482,7,11,0.5389184280304226,0.8316077983198156,0.015244822127429553
297,0.21320451759395168,9,166,0.400547374913509,0.31664538400880315,1.87658062775744
444,0.10098160995731492,5,214,0.4475980446977019,0.8881439977969257,0.006460999300629854
18,0.01726261975035418,5,122,0.7902795184980529,0.8600130309195013,1334.5673951478984
421,0.23313282168721416,3,9,0.7575122500278064,0.3296336081431725,0.009200806912976613
265,0.2687928120958972,8,56,0.8691273558818278,0.8170353592678763,1.0021826514197218
264,0.15736072115985938,6,160,0.8644232865044413,0.4328445346734948,589.8036540021799
54,0.2571280183756765,3,184,0.8784710296788406,0.4470470747583829,1.355518744127129
241,0.2739036318910115,9,253,0.8583321603412892,0.8810775350124671,0.006799420513567964
455,0.11065940990487777,4,110,0.8730754397075629,0.768183685160137,0.9205450206547745
230,0.22977048353286825,3,244,0.13769740012260648,0.841919405927273,58.709717565049914
127,0.04903993689771877,2,80,0.1033598287399489,0.4667731972603305,0.018286064058695643
106,0.21159496975799005,2,220,0.7453741750566931,0.35720140444536613,0.016371090327126685
455,0.03257031654570613,7,120,0.16068040701992428,0.6908656579134201,60.89093554346997
247,0.2121493232115007,8,154,0.58957453354652,0.42621533744028883,70.42543855306323
183,0.025506973440550997,6,149,0.3928266468079964,0.8432139493323383,466.03389112684465
339,0.20930088844059822,8,248,0.3170729766617024,0.6417561685764717,1.1175994729841903
115,0.08283792311834574,5,91,0.6575099789154407,0.38850934726294484,491.5115628637448
491,0.07923658391769163,3,54,0.30129213935860377,0.42033134627884405,1.1620116511521088
