x1,x2,x3,x4,x5,y
1,23,3,1,19,2
2,15,3,1,17,2
1,23,3,2,49,2
1,5,2,2,33,2
2,7,11,2,55,2
2,23,3,1,20,2
2,9,5,2,19,2
2,10,3,2,27,2
1,22,3,1,58,2
2,15,3,1,20,2
2,10,22,2,9,2
2,13,1,2,30,2
2,18,21,2,29,2
2,6,17,2,39,2
2,6,17,2,42,1
2,6,17,2,43,1
2,7,11,2,10,1
2,22,3,2,46,1
2,13,3,1,10,1
2,7,25,2,42,1
2,25,7,2,27,1
2,25,7,2,23,1
2,2,9,2,31,1
2,1,15,1,22,1
2,15,13,2,37,1
2,7,11,2,13,1
2,8,3,2,24,1
2,14,15,2,38,1
2,21,2,2,42,0
2,22,3,2,28,0
2,11,1,2,51,0
2,18,5,2,19,0
2,13,1,2,31,0
1,13,3,1,13,0
2,5,2,2,37,0
2,16,8,2,36,0
2,4,16,2,21,0
2,5,2,2,48,0
2,14,15,2,38,0
1,23,3,1,19,2
2,15,3,1,17,2
1,23,3,2,49,2
1,5,2,2,33,2
2,7,11,2,55,2
2,23,3,1,20,2
2,9,5,2,19,2
2,10,3,2,27,2
1,22,3,2,58,2
2,15,3,1,20,2
2,10,22,2,9,2
2,13,1,2,30,2
2,18,21,2,29,2
2,6,17,2,39,2
2,6,17,2,42,1
2,6,17,2,43,1
2,7,11,2,10,1
2,22,3,2,46,1
2,13,3,1,10,1
2,7,25,2,42,1
2,25,7,2,27,1
2,25,7,2,23,1
2,2,9,2,31,1
2,1,15,1,22,1
2,15,13,2,37,1
2,7,11,2,13,1
2,8,3,2,24,1
2,14,15,2,38,1
2,21,2,2,42,0
2,22,3,2,28,0
2,11,1,2,51,0
2,18,5,2,19,0
2,13,1,2,31,0
1,13,3,1,13,0
2,5,2,2,37,0
2,16,8,2,36,0
2,4,16,2,21,0
2,5,2,2,48,0
2,14,15,2,38,0
1,23,3,1,25,2
1,13,3,1,17,2
2,16,19,2,11,2
2,9,2,2,39,2
2,13,3,1,11,2
2,18,21,2,19,2
1,22,3,2,45,2
2,7,11,1,20,2
2,23,3,1,20,2
1,23,3,1,20,2
1,23,3,2,38,2
2,14,22,2,17,2
1,17,17,2,19,2
2,9,5,2,24,2
2,18,25,2,25,2
1,17,17,2,31,2
2,1,15,2,31,2
2,1,8,2,18,1
1,11,16,2,22,1
1,22,13,2,27,1
2,9,2,2,14,1
2,13,1,2,20,1
1,6,17,2,35,1
2,23,3,1,20,1
1,23,3,1,20,1
2,6,17,2,37,1
1,22,3,2,15,1
2,20,2,2,25,1
2,23,3,2,10,1
2,20,2,2,14,0
1,23,3,2,38,0
2,13,1,2,29,0
2,10,3,2,19,0
2,7,11,2,30,0
1,14,15,2,32,0
2,8,3,2,27,0
2,12,7,2,34,0
2,8,7,2,23,0
2,15,1,2,66,0
2,23,3,2,12,0
2,2,9,2,29,0
2,15,1,2,19,0
2,20,2,2,3,0
2,13,14,2,17,2
2,9,6,2,7,2
1,10,3,2,21,2
2,14,15,2,36,2
1,13,1,2,54,2
1,8,3,2,29,2
2,20,2,2,45,2
2,22,1,2,11,1
2,18,12,2,16,1
2,20,15,2,18,1
1,17,18,2,44,1
2,14,23,2,17,1
2,24,26,2,21,1
2,9,24,2,20,1
2,12,8,2,24,1
2,9,6,2,5,1
2,22,1,2,42,1
2,7,11,2,30,0
2,10,3,2,19,0
2,23,3,2,11,0
2,17,18,2,29,0
2,16,20,2,15,0
2,3,2,2,37,0
2,19,4,2,10,0
2,23,3,2,24,0
2,3,2,2,26,0
2,10,3,2,12,0
1,18,7,2,48,0
2,22,1,2,51,0
2,2,10,2,27,0
