x1,x2,x3,x4,y
11.0,3.3,54.959999,55.0,4329.330078
4.0,1.2,19.98,40.0,2016.439941
0.9,0.27,4.5,1.8,249.419998
2.0,1.2,19.98,10.0,1044.219971
2.0,1.8,19.98,30.0,1761.920044
2.5,1.5,24.959999,25.0,2028.640015
9.5,2.85,47.459999,19.0,3093.179932
5.0,1.5,16.65,10.0,964.52002
6.5,5.85,97.5,65.0,5782.939941
5.0,1.5,24.959999,25.0,2101.409912
2.5,0.75,12.48,25.0,1445.0
9.5,5.7,94.980003,95.0,6857.439941
6.5,5.85,64.980003,32.5,3730.27002
5.0,3.0,33.299999,75.0,3123.949951
8.0,7.2,79.919998,40.0,4482.029785
0.9,0.27,2.97,4.5,234.100006
0.5,0.45,4.95,1.0,127.110001
6.5,1.95,32.459999,97.5,3695.23999
2.5,1.5,16.65,37.5,1709.420044
2.5,1.5,16.65,12.5,1237.199951
0.7,0.42,6.96,7.0,487.100006
5.0,4.5,75.0,25.0,4150.72998
11.0,3.3,36.630001,110.0,4211.589844
0.6,0.18,6.0,3.0,323.230011
6.5,5.85,97.5,32.5,5265.720215
0.9,0.54,5.94,9.0,462.869995
1.5,1.35,14.94,15.0,1227.119995
4.0,2.4,26.639999,40.0,2246.669922
2.0,1.2,19.98,20.0,1572.180054
2.0,0.6,9.96,20.0,1099.319946
0.5,0.3,4.98,7.5,376.140015
2.5,2.25,37.5,25.0,2482.919922
2.5,0.75,12.48,12.5,1190.920044
0.8,0.48,7.98,8.0,565.47998
5.0,3.0,49.98,25.0,3092.830078
8.0,2.4,39.959999,40.0,3140.310059
0.8,0.24,7.98,4.0,437.399994
9.5,2.85,31.59,142.5,5330.52002
3.0,2.7,45.0,15.0,2559.149902
1.5,0.9,9.99,3.0,395.329987
1.5,1.35,22.5,15.0,1520.380005
3.0,2.7,45.0,45.0,3261.97998
0.5,0.15,2.46,7.5,227.410004
6.5,1.95,21.6,65.0,2594.909912
0.7,0.63,10.5,3.5,484.299988
6.5,3.9,43.290001,97.5,4103.22998
0.6,0.18,3.0,1.2,109.989998
9.5,5.7,63.27,47.5,4243.049805
0.7,0.21,3.48,7.0,319.660004
9.5,8.55,94.949997,47.5,5225.950195
3.0,0.9,9.99,6.0,579.799988
0.8,0.72,12.0,12.0,1148.380005
3.0,1.8,19.98,30.0,1816.790039
0.9,0.27,4.5,9.0,379.570007
4.0,1.2,13.32,60.0,2236.300049
0.8,0.24,3.96,1.6,217.520004
2.5,1.5,24.959999,37.5,2154.899902
8.0,2.4,26.639999,80.0,3060.629883
0.6,0.36,12.0,3.0,526.72998
0.8,0.48,15.99,12.0,1353.199951
0.6,0.54,18.0,3.0,794.400024
0.8,0.48,5.31,4.0,294.75
4.0,3.6,39.959999,40.0,2868.23999
4.0,3.6,60.0,20.0,3332.790039
6.5,1.95,32.459999,97.5,3730.179932
2.5,0.75,8.28,37.5,1528.73999
0.8,0.24,3.96,12.0,750.169983
2.0,0.6,6.66,10.0,505.429993
6.5,3.9,43.290001,32.5,2888.719971
0.7,0.42,6.96,3.5,340.540009
0.5,0.15,2.46,2.5,176.240005
9.5,5.7,63.27,95.0,5092.080078
0.5,0.45,15.0,5.0,697.349976
0.5,0.45,15.0,1.0,353.850006
0.7,0.21,3.48,7.0,265.140015
2.0,1.8,19.98,10.0,1001.859985
5.0,3.0,33.299999,10.0,1676.670044
0.6,0.54,9.0,6.0,432.720001
2.5,2.25,37.5,12.5,2195.280029
3.0,1.8,30.0,15.0,1902.119995
2.5,2.25,24.93,12.5,1596.569946
11.0,6.6,73.260002,22.0,4189.919922
4.0,3.6,39.959999,40.0,2852.27002
0.8,0.48,15.99,1.6,673.890015
5.0,1.5,24.959999,10.0,1445.380005
0.8,0.48,15.99,4.0,731.48999
2.0,1.8,30.0,20.0,1901.369995
0.7,0.21,6.99,1.4,198.949997
0.7,0.42,6.96,3.5,328.23999
3.0,2.7,29.969999,30.0,2266.25
9.5,2.85,47.459999,47.5,3869.590088
2.5,0.75,12.48,12.5,1140.849976
2.5,1.5,16.65,25.0,1559.089966
3.0,1.8,19.98,30.0,1815.939941
0.6,0.18,1.98,9.0,237.649994
2.0,1.8,19.98,4.0,730.799988
9.5,2.85,47.459999,142.5,5818.629883
0.6,0.36,12.0,1.2,271.980011
1.5,0.9,9.99,7.5,459.450012
0.5,0.3,3.33,2.5,182.470001
0.9,0.54,18.0,9.0,880.409973
0.8,0.48,15.99,4.0,728.359985
9.5,8.55,94.949997,142.5,7632.910156
9.5,2.85,31.59,47.5,2800.080078
0.9,0.27,4.5,13.5,788.179993
5.0,4.5,75.0,75.0,5174.720215
0.7,0.63,10.5,10.5,1050.199951
2.5,0.75,8.28,37.5,1469.290039
9.5,5.7,94.980003,142.5,8153.339844
0.8,0.72,12.0,12.0,1152.689941
5.0,4.5,49.950001,25.0,2995.179932
11.0,6.6,73.260002,110.0,5925.27002
0.6,0.36,3.96,9.0,345.480011
3.0,0.9,9.99,6.0,462.0
0.5,0.3,9.99,1.0,233.259995
6.5,5.85,64.980003,65.0,4576.02002
3.0,1.8,30.0,15.0,1902.439941
2.5,0.75,12.48,37.5,1560.27002
0.9,0.27,2.97,9.0,345.700012
6.5,1.95,21.6,97.5,3430.02002
0.8,0.24,7.98,12.0,1014.51001
2.0,1.8,30.0,10.0,1470.969971
0.8,0.24,2.64,12.0,709.52002
3.0,0.9,15.0,30.0,1633.089966
0.5,0.15,1.64,5.0,167.0
5.0,1.5,16.65,75.0,2653.48999
5.0,4.5,75.0,50.0,4583.850098
0.8,0.24,2.64,8.0,268.920013
1.5,0.9,9.99,15.0,970.98999
0.6,0.36,12.0,9.0,638.51001
2.5,0.75,12.48,25.0,1417.73999
0.6,0.36,6.0,3.0,289.850006
8.0,2.4,39.959999,40.0,3139.080078
0.9,0.27,4.5,4.5,293.519989
6.5,3.9,43.290001,32.5,2976.199951
0.7,0.63,6.93,1.4,181.449997
0.5,0.15,4.98,1.0,167.029999
2.0,1.2,19.98,10.0,1071.109985
4.0,2.4,26.639999,60.0,2601.669922
0.7,0.21,6.99,10.5,954.599976
5.0,1.5,24.959999,25.0,2171.659912
0.8,0.48,15.99,8.0,959.710022
9.5,5.7,63.27,142.5,6355.629883
6.5,3.9,43.290001,13.0,2522.219971
0.6,0.18,3.0,9.0,297.279999
9.5,8.55,142.5,95.0,8546.030273
9.5,2.85,47.459999,95.0,4654.600098
2.0,0.6,6.66,20.0,920.830017
3.0,0.9,15.0,45.0,1856.199951
6.5,1.95,32.459999,65.0,3178.389893
0.5,0.45,15.0,5.0,689.130005
6.5,1.95,21.6,65.0,2564.090088
0.5,0.45,15.0,2.5,635.619995
6.5,5.85,97.5,65.0,5782.339844
5.0,4.5,75.0,50.0,4514.490234
0.8,0.24,2.64,1.6,149.75
0.7,0.63,6.93,1.4,193.169998
0.5,0.45,4.95,1.0,127.050003
0.7,0.63,6.93,3.5,319.959991
3.0,1.8,19.98,45.0,2069.47998
3.0,1.8,30.0,30.0,2332.27002
0.5,0.15,1.64,1.0,64.470001
3.0,0.9,9.99,45.0,1703.150024
0.9,0.27,9.0,1.8,254.690002
0.9,0.27,9.0,13.5,1132.910034
1.5,1.35,22.5,22.5,1829.890015
0.7,0.21,6.99,3.5,388.679993
2.5,2.25,37.5,25.0,2482.919922
4.0,1.2,13.32,40.0,1689.880005
