num_samples,num_features,label_max,label_min,label_mean,label_std,corr_mean,corr_max,corr_min,data_name,h1,h2,h3,h4,max_iter,random_state,score
4176,8,29.0,1.0,9.931034482758621,3.220002526537276,0.8077193225595822,1.0,0.4180480423150488,abalone.csv,11,4,9,2,200,2022,1.5226586055604006
4176,8,29.0,1.0,9.931034482758621,3.220002526537276,0.8077193225595822,1.0,0.4180480423150488,abalone.csv,9,8,3,8,2000,2020,1.537956909505866
4176,8,29.0,1.0,9.931034482758621,3.220002526537276,0.8077193225595822,1.0,0.4180480423150488,abalone.csv,13,5,3,1,100,2020,1.765141993994101
4176,8,29.0,1.0,9.931034482758621,3.220002526537276,0.8077193225595822,1.0,0.4180480423150488,abalone.csv,12,3,2,9,2000,2022,2.3607528593387124
4176,8,29.0,1.0,9.931034482758621,3.220002526537276,0.8077193225595822,1.0,0.4180480423150488,abalone.csv,7,2,4,2,100,2021,1.6924932176536671
4176,8,29.0,1.0,9.931034482758621,3.220002526537276,0.8077193225595822,1.0,0.4180480423150488,abalone.csv,7,9,9,1,200,2022,1.5629916594640614
4176,8,29.0,1.0,9.931034482758621,3.220002526537276,0.8077193225595822,1.0,0.4180480423150488,abalone.csv,7,1,1,5,100,2022,1.8190501943548578
4176,8,29.0,1.0,9.931034482758621,3.220002526537276,0.8077193225595822,1.0,0.4180480423150488,abalone.csv,9,9,6,7,100,2021,1.8694120102186524
4176,8,29.0,1.0,9.931034482758621,3.220002526537276,0.8077193225595822,1.0,0.4180480423150488,abalone.csv,10,8,8,6,1000,2022,1.4976897523935526
4176,8,29.0,1.0,9.931034482758621,3.220002526537276,0.8077193225595822,1.0,0.4180480423150488,abalone.csv,6,6,2,8,200,2021,1.6033116633073887
4176,8,29.0,1.0,9.931034482758621,3.220002526537276,0.8077193225595822,1.0,0.4180480423150488,abalone.csv,5,4,4,5,2000,2021,1.5635050461391111
4176,8,29.0,1.0,9.931034482758621,3.220002526537276,0.8077193225595822,1.0,0.4180480423150488,abalone.csv,6,7,9,8,200,2020,1.5820070340639003
4176,8,29.0,1.0,9.931034482758621,3.220002526537276,0.8077193225595822,1.0,0.4180480423150488,abalone.csv,11,5,0,0,2000,2021,1.5769423980274686
4176,8,29.0,1.0,9.931034482758621,3.220002526537276,0.8077193225595822,1.0,0.4180480423150488,abalone.csv,14,0,0,0,200,2022,1.6372817318826307
4176,8,29.0,1.0,9.931034482758621,3.220002526537276,0.8077193225595822,1.0,0.4180480423150488,abalone.csv,12,8,6,2,2000,2022,2.360616801831635
4176,8,29.0,1.0,9.931034482758621,3.220002526537276,0.8077193225595822,1.0,0.4180480423150488,abalone.csv,9,3,9,2,1000,2022,2.360577785019506
4176,8,29.0,1.0,9.931034482758621,3.220002526537276,0.8077193225595822,1.0,0.4180480423150488,abalone.csv,10,9,2,8,1000,2020,1.5258301486720982
4176,8,29.0,1.0,9.931034482758621,3.220002526537276,0.8077193225595822,1.0,0.4180480423150488,abalone.csv,9,1,3,5,100,2021,1.8811210723365157
4176,8,29.0,1.0,9.931034482758621,3.220002526537276,0.8077193225595822,1.0,0.4180480423150488,abalone.csv,7,7,6,1,1000,2021,1.6047277117249306
4176,8,29.0,1.0,9.931034482758621,3.220002526537276,0.8077193225595822,1.0,0.4180480423150488,abalone.csv,14,7,3,0,100,2020,1.678505723933121
4176,8,29.0,1.0,9.931034482758621,3.220002526537276,0.8077193225595822,1.0,0.4180480423150488,abalone.csv,10,2,8,9,200,2022,1.5578931015002428
4176,8,29.0,1.0,9.931034482758621,3.220002526537276,0.8077193225595822,1.0,0.4180480423150488,abalone.csv,14,0,0,0,200,2022,1.6372817318826307
4176,8,29.0,1.0,9.931034482758621,3.220002526537276,0.8077193225595822,1.0,0.4180480423150488,abalone.csv,6,8,6,4,2000,2021,1.5363213277759669
4176,8,29.0,1.0,9.931034482758621,3.220002526537276,0.8077193225595822,1.0,0.4180480423150488,abalone.csv,10,4,7,5,2000,2020,1.5560056325849743
4176,8,29.0,1.0,9.931034482758621,3.220002526537276,0.8077193225595822,1.0,0.4180480423150488,abalone.csv,14,0,0,0,1000,2022,1.5694004048248156
4176,8,29.0,1.0,9.931034482758621,3.220002526537276,0.8077193225595822,1.0,0.4180480423150488,abalone.csv,10,2,7,4,100,2020,1.8165756756547171
4176,8,29.0,1.0,9.931034482758621,3.220002526537276,0.8077193225595822,1.0,0.4180480423150488,abalone.csv,14,1,0,0,1000,2021,1.5904867979556607
4176,8,29.0,1.0,9.931034482758621,3.220002526537276,0.8077193225595822,1.0,0.4180480423150488,abalone.csv,6,6,1,8,200,2020,2.3607421860341797
4176,8,29.0,1.0,9.931034482758621,3.220002526537276,0.8077193225595822,1.0,0.4180480423150488,abalone.csv,13,3,3,8,200,2022,1.581297134887042
4176,8,29.0,1.0,9.931034482758621,3.220002526537276,0.8077193225595822,1.0,0.4180480423150488,abalone.csv,9,1,1,1,100,2020,5.8743133418234565
4176,8,29.0,1.0,9.931034482758621,3.220002526537276,0.8077193225595822,1.0,0.4180480423150488,abalone.csv,10,3,5,9,100,2021,1.6143335560403578
4176,8,29.0,1.0,9.931034482758621,3.220002526537276,0.8077193225595822,1.0,0.4180480423150488,abalone.csv,10,6,3,6,1000,2022,1.5072021913575344
4176,8,29.0,1.0,9.931034482758621,3.220002526537276,0.8077193225595822,1.0,0.4180480423150488,abalone.csv,13,0,0,0,200,2020,1.6475325186019731
4176,8,29.0,1.0,9.931034482758621,3.220002526537276,0.8077193225595822,1.0,0.4180480423150488,abalone.csv,14,7,7,1,1000,2022,1.5611985474175154
